,text,labels
40,we cannot and must not leave for the christmas holidays unless we protect working people and that means absolutely th,INTJ
41,i applaud this effort to end facebooks monopoly their greed knows no bounds and theyve used their power to try and control too much of political and economic life all over the world the only thing that will stop facebook is to say enough is enough and break it up,INTJ
42,bernie on tyt live  fighting for covid direct payments,INTJ
43,millions are unemployed facing eviction have no health insurance and going hungry this is an emergency and the us government must respond any covid agreement must include at least  1200 in direct payments for adults  500 for kids and supplemental unemployment benefits,INTJ
44,here in washington when we go to war theres endless amounts of moneybut when children are going hungry today suddenly we dont have enough moneythats wrong congress needs to make sure families get the help they need,INTJ
45,the choice is clear for georgia voters,INTJ
46,if congress can afford to give giant subsidies to the fossil fuel industry and a  1 trillion tax break to the top 1  then we can afford  1200 direct payments to every working class adult in america  peoplesbailout,INTJ
47,if there was ever a moment for congress to listen to the people not corporations now is that time join me now with  to demand that any new covidrelief proposal include at least  1200 in direct payment to all working class americans,INTJ
48,to me it is a nobrainer  congress must provide a  1200 direct payment to every workingclass adult plus  500 for each of their children,INTJ
49,we need a  peoplesbailout now more than ever join us tonight  7pm et as we demand a peoples bailout well be joined,INTJ
50,workers at meat processing plants at amazon and around the country have been treated shamefully during this pandemicworking class americans need  1200 payments to get them through this crisis not immunity for corporations putting their lives at risk,INTJ
51,the economy is in shamblestens of millions of americans are sufferingat the very least congress must provide  1200 direct payments to every workingclass adult in this country,INTJ
52,we cannot turn our backs on families who are struggling through this pandemic congress must include at the least a  1200 direct payment to any covid proposal which is passed thats what the american people want thats what we must do,INTJ
53,every now and then it might be a good idea for congress to listen to the american people not just large corporations,INTJ
54,11000 workers at tyson foods got covid amp 36 died while managers made bets on how many would get sick the working conditions were so bad they shook a local sheriff to his core no i will not vote to give corporations a license to harm workers we must hold them accountable,INTJ
55,starship landing flip maneuver,INTJ
56,mars here we come,INTJ
57,successful ascent switchover to header tanks amp precise flap control to landing point,INTJ
58,watch starship highaltitude test live,INTJ
59,raptor autoabort at t1 second,INTJ
60,live views of starship sn8s flight test,INTJ
61,timelapse of dragon on approach  two dragons now docked to the,INTJ
62,falcon 9s first stage previously supported six missions and one of its fairing halves previously flew on the anasisii mission,INTJ
63,static fire test complete  targeting falcon 9 launch of sxm7 for  from slc40 in florida on friday december 11,INTJ
64,first attempt of starship sn8s highaltitude flight test as early as tomorrow,INTJ
65,docking confirmed  dragon has arrived at the,INTJ
66,dragon is approaching the  now after autonomously docking there will be two dragons attached to the orbiting laboratory watch live,INTJ
67,the new   dragon resupply ship is on track to arrive at the station today at 1 30pm et  tv coverage begins,INTJ
68,more photos of falcon 9s 100th successful launch and first flight of upgraded cargo dragon,INTJ
69,tracking footage from a helicopter of todays falcon 9 launch off lc39a,INTJ
70,facebook invests  150 million in affordable housing for the bay area,INTJ
71,small businesses are the heart and soul of our community  over the past 6 months weve surveyed over 150000 small businesses globally to see how theyve been impacted by covid19see all of our global state of small business report findings here,INTJ
72,hi there if you are trying to log in and you are not receiving a code  here are some other options you can try  ky,INTJ
73,i am going to the senate floor to vote against trumps huge arms sale to the united arab emiratesthe united states should be working to deescalate conflict in the middle east not fueling it by selling more and more weapons to regimes using them to kill civilians,INTJ
74,with so many people facing economic desperation congress cannot recess until we pass a covid19 relief bill that includes at least  1200 in direct payments for adults  500 for kids expanded unemployment benefits and emergency aid for states and cities to prevent mass layoffs,INTJ
75,here in washington when we go to war  theres endless amounts of money tax breaks for billionaires  endless amounts of moneycorporate welfare  endless amounts of money but when children are going hungry in america today suddenly we dont have enough money thats wrong,INTJ
76,given the horrific extent of this crisis it would be unacceptable to take a major step backwards and pass legislation that only included  348 billion in new moneymy colleagues and i are demanding real relief for the american people,INTJ
77,the american people need help and they need help now that means any covid19 relief deal must include  1200 direct payments to the working class no getoutofjail free card to corporations that put the lives of their workers and customers at risk,INTJ
78,the  1200 direct payments to working class adults and  500 for children passed in march kept 33 million americans out of povertytoday 1 in 4 workers are unemployed or make less than  20000 congress must provide direct payments to the working class now  at least  1200,INTJ
79,people who lost health insurance during the pandemic canada  0united kingdom  0germany  0france  0australia  0japan  0south korea  0taiwan  0denmark  0finland  0norway  0united states  14600000health care must be a right not an employee benefit medicareforall,INTJ
80,thats why  and i are calling for giving  2000month to americans until this pandemic ends,INTJ
81,sen bernie sanders  people are suffering in a way we have not seen since the great depression,INTJ
82,if a company disregards the health and safety of its workers demands sick employees return to work requires employees to work without masks proper protection social distancing or adequate ventilation they must be held accountable we cannot give corporations a right to kill,INTJ
83,given the enormous economic desperation facing working families in this country today i will not be able to support the recently announced manchinromney covid19 proposal unless it is significantly improvedread my full statement,INTJ
84,big banks are making record profits by charging skyhigh interest rates amp fees unacceptable if were going to rebuild the middle class we must significantly reduce consumer debt i will be reintroducing my bill to end wall street greed amp cap credit card interest rates at 15,INTJ
85,thats all for tonight folks  see you next week at the same time and place,INTJ
86,uhh,INTJ
87,everything is an illusionkeir dullea explains how they were able to capture the craziest scenes on the set of 2001  a space odessey   joshgatestonight,INTJ
88,who knew water could be so fun   joshgatestonight,INTJ
89,cat cafés are a thing people,INTJ
90,this evenings  space themed episode of  joshgatestonight starts at 8pm on  assuming i can open the pod bay d,INTJ
91,charlie duke has quite the record there  what were you doing at 34  joshgatestonight,INTJ
92,who wore it best,INTJ
93,buckle up folks  an allnew episode of  joshgatestonight starts now on,INTJ
94,ray billings of tombstone told us tyler could win the giant nut by the time hes 13could he actually get it this season,INTJ
95,something new is hatching   stream what you love including  alaskanbushpeople on  every tv lovers,INTJ
96,he may be only 11yearsold but tyler nguyen is ready to make his mark in the  arena with his bot perfect phoenixdont miss his debut tomorrow at 8p on  battlebots,INTJ
97,you never know what might find in the woods join  and  as they head to southern new jersey in the search for the infamous jersey devil on an allnew episode of  expeditionx at 9p on discovery,INTJ
98,adventure knows no limit   experiences zero g in an allnew  joshgatestonight this evening at 8p followed by  expeditionx at 9p only on,INTJ
99,the reliquary box could explain what happened to the templars lost relics of the  knightstemplar  season finale tonight at 10p on,INTJ
100,lava jato  mpf faz acordo com philips para ressarcir r  599 milhões,INTJ
101,fissura na câmara  o racha entre marcos pereira e rodrigo maia,INTJ
102,justiça do rio nega afastar cúpula da fgv suspeita de corrupção via,INTJ
103,morre o exatacante italiano paolo rossi carrasco do brasil em 1982 via,INTJ
104,bolsonaro confirma gilson machado como novo ministro do turismo,INTJ
105,homens deixaram de cuidar da saúde na pandemia revela pesquisa via,INTJ
106,matheus leitão  nos bastidores presidência de fux vem incomodando uma ala do stf via,INTJ
107,perfil  novo ministro do turismo já deu uma rasteira na equipe de paulo guedes,INTJ
108,trump e 17 estados apoiam tentativa do texas de anular resultado das eleições nos eua,INTJ
109,paul mccartney espalha partituras de suas novas músicas em outdoors em 12 cidades rio receberá um,INTJ
110,youtube passa a banir vídeos que alegam fraude eleitoral nos eua,INTJ
111,cadastrese para saber mais e para receber um aviso antes da live começar,INTJ
112,filho de biden diz ser alvo de investigação federal sobre impostos,INTJ
113,biden promete 100 milhões de doses de vacina contra coronavírus em 100,INTJ
114,shoppings se organizam para fazer etapa de imunização contra covid19,INTJ
115,warm layers for kids plus more top picks to give,INTJ
116,warm layers for kids plus more top picks to give,INTJ
117,styles that make layering even easier plus more top picks to give amp get,INTJ
118,styles that make layering even easier plus more top picks to give amp get,INTJ
119,styles that make layering even easier plus more top picks to give amp get,INTJ
120,styles that make layering even easier plus more top picks to give amp get,INTJ
121,styles that make layering even easier plus more top picks to give amp get,INTJ
122,styles that make layering even easier plus more top picks to give amp get,INTJ
123,styles that make layering even easier plus more top picks to give amp get,INTJ
124,warm layers for kids plus more top picks to give,INTJ
125,warm layers for kids plus more top picks to give,INTJ
126,layers that pack a punch of color plus more top picks to give and get,INTJ
127,layers that pack a punch of color plus more top picks to give and get,INTJ
128,layers that pack a punch of color plus more top picks to give and get,INTJ
129,layers that pack a punch of color plus more top picks to give and get,INTJ
130,cant decide which life path to choose in cyberpunk 2077  watch how each path begins all in 4k 60fps on ultra rtx settingscorpo  nomad  street kid,INTJ
131,from cowboy bebop  the complete series to an incredible vegeta statue here are the best holiday gifts for anyone who loves anime,INTJ
132,set photos from marvels hawkeye reveal jeremy renners new bow hailee steinfelds costume and the infamous pizza dog,INTJ
133,playing straight through cyberpunk 2077s campaign is a bit shorter than expected but if you want different endings and a whole lot of side missions there are dozens upon dozens of extra hours worth of gameplaylearn more here,INTJ
134,one of the most important aspects of cyberpunk 2077 is leveling up and there are several systems youll want to pay attention to including street cred attributes and perks,INTJ
135,cyberpunk 2077 has officially launched but steam and gog are stalling out on downloads have you had trouble downloading the game,INTJ
136,since nicolas cage will be hosting netflixs new comedy series history of swear words please enjoy this supercut of him swearing in some of his best and wildest films,INTJ
137,atampt announced it will sell crunchyroll to sonys funimation group for  12 billion combining the two biggest anime streamers in north america,INTJ
138,this weeks  podcastbeyond  is live  max brian and i pester tom about  cyberpunk2077 but we also make time for some pe,INTJ
139,the cw revealed tyler hoechlins new superman suit from the upcoming superman amp lois series,INTJ
140,cyberpunk 2077 is finally upon us  to celebrate join  for  cybernight the official launch party of  cyberpunk2077which life path are you gonna choose  nomad street kid or corpo,INTJ
141,cyberpunk 2077 has been a long time coming but night city is finally ready to be exploredcongrats cd projekt red,INTJ
142,there are three main weapon types in cyberpunk 2077  smart tech and power learn the difference before you shoot your eye out kid,INTJ
143,actor temuera morrison describes putting on the boba fett armor for the first time in the mandalorian,INTJ
144,no,INTJ
0,bill foege and viktor zdanov are phenomenal examples of what it means to harness science for global health a welldeserved honor,INTP
1,here are five books that id recommend as we wrap up 2020 i hope you find something that helps youor the book lover in your lifefinish the year on a good note,INTP
2,are we actually making progress on climate change  can we really prevent a climate disaster  in this weeks podcast rashida and i take on perhaps our biggest question yet with pulitzer prizewinning author,INTP
3,this new quiz from  is a clever way to fight misconceptions and upgrade your worldview about the incredible progress the world has made toward the sustainable development goals to end poverty fight inequality and stop climate change,INTP
4,rashida jones and i talked to yuval noah harari about covid conspiracy theories the role social media plays in spreading misinformation and the one lie i choose to believe even though i know its not always true,INTP
5,i believe we can avoid a climate disasterif we deploy the cleanenergy tools we have now wisely and if we make big breakthroughs that touch every aspect of our physical economy creating the national institutes of energy innovation would put us on the right path,INTP
6,to reduce duplication focus the governments efforts and get the most innovation out of every dollar of funding we should create a new organization  the national institutes of energy innovation,INTP
7,we need to revolutionize the worlds physical economyand that will take among other things a dramatic infusion of ingenuity funding and focus from the federal government,INTP
8,this the most important thing the us can do to lead the world in innovations that will solve climate change,INTP
9,unlucky this time   but good score  hopefully in the future we can be on the same pitch together again ill make sure i will cut back to you,INTP
10,and the winner is,INTP
11,should i have cut it back,INTP
12,i think its time you proved this my friend  you vs me in a shot power competition  can you send,INTP
13,i think its time you proved this my friend  you vs me in a shot power competition  can you send  an  adidasgmr please,INTP
14,hmm lets see what we can do to help look out for a dm with next steps,INTP
15,hi there without revealing your email address tell us more about whats going on with your account well see what we can do to help,INTP
16,hi there wed like to move this conversation to dm please follow us and let us know when you have so we can share next steps,INTP
17,hi dharamveer check here to see the available payment options  please note that some options may not be available for subscriptions such as google one,INTP
18,hmm lets see what we can do to help look out for a dm with next steps,INTP
19,hmm lets see what we can do to help please follow us and let us know when you have so we can share next steps through dm,INTP
20,hmm have you already tried recovering your account using the steps here  these tips may help  keep us posted,INTP
21,hmm lets see what we can do to help look out for a dm with next steps,INTP
22,this year searches for bingewatching reached an alltime high as many of us invited characters from all over the world and sometimes out of it to join us in our living rooms see the top trending tv shows and movies of 2020,INTP
23,hi diego were working on supporting more platforms including ios you can also access your google one membership benefits or upgrade at thanks,INTP
24,hi there just to confirm have you already tried recovering your account by completing the steps here  these tips may help  let us know,INTP
25,introducing  googlehealthstudiesa new  app that makes it easy for adults in the us to participate in health research contribute to the first study on respiratory health and make a difference in your community,INTP
26,hmm lets see what we can do to help please follow us and let us know when you have so we can share next steps through dm,INTP
27,youre welcome  we suggest making sure your recovery options are uptodate for the future,INTP
28,hmm wed like to move this conversation to dm please follow us and let us know when you have so we can share next steps,INTP
29,thanks for having me,INTP
30,hbo has announced the premiere date for the second  euphoria special episode which was cowritten by series star hunter schaf,INTP
31,thank you from the bottom of my heart i cant wait for everyone to tune into hbo tonight for,INTP
32,see yall tonight,INTP
33,new connections between past present and an imagined future  has been chosen to represent a resignified vale,INTP
34,proud to say i have the honor of being the face of  such a dream cant wait for whats to come,INTP
35,its always an honor to act beside you colman to colemanyou truly are so damn good at what you do constantly inspired by you,INTP
36,miss marsha,INTP
37,trouble dont last always,INTP
38,euphoria part 1 rue streaming early on  tonight 9pm pst  12am esti hope yall like it missed rue rue a lot,INTP
39,donos de bares e restaurantes de bh protestam contra decreto da prefeitura que proíbe venda de bebidas alcoólicas  g1,INTP
40,covid  relator de mp na câmara inclui meta de vacinação de toda a população em até 12 meses  g1,INTP
41,bruno covas seguirá com imunoterapia e fará sessões de radioterapia diz hospital  g1,INTP
42,relatório apresentado por comissão da câmara atribui queimadas no pantanal a ações criminosas e conduta do governo  g1,INTP
43,pantone anuncia cinza ultimate gray e amarelo illuminating como cores de 2021  g1,INTP
44,doria diz que dez estados solicitaram a vacina coronavac  g1,INTP
45,conflito na etiópia está fora de controle alerta bachelet  g1,INTP
46,com isenção da conta de luz aneel autoriza r  51 milhões para companhia de energia do amapá  g1,INTP
47,gavião é resgatado após se ferir em arame farpado de prédio no litoral de sp  g1,INTP
48,bolsonaro zera tarifa para importar armas brasil passa de 179 mil mortes por covid19 e pazuello muda de novo previsão de data para vacinação a queda do ministro do turismo e o processo contra o facebook nos eua por monopólio ilegal gt  g1  resumododia,INTP
49,governo da frança apresenta projeto de lei contra islamismo radical  g1,INTP
50,bancada do psb na câmara forma maioria a favor da candidatura de arthur lira leia no blog do   g1,INTP
51,semteto é morto a pauladas no df  g1,INTP
52,morre o exatacante italiano paolo rossi algoz do brasil na copa de 82 informa a gazzetta dello sport,INTP
53,fux decide julgar ações sobre vacinação obrigatória contra covid19 fora do plenário virtual  g1,INTP
54,910,INTP
55,1010,INTP
56,810,INTP
57,910,INTP
58,1010,INTP
59,same 1010,INTP
60,dancin 1010,INTP
61,the 80s were wild,INTP
62,alright everyone hes gone,INTP
63,wowwwww brad,INTP
64,1010,INTP
65,1010,INTP
66,plan de relance européen   la pologne et la hongrie se disent prêtes à lever leur veto,INTP
67,le chef triplement étoilé marc meneau est mort,INTP
68,santé au travail   les partenaires sociaux ont trouvé un accord,INTP
69,etatsunis   le fils de joe biden visé par une enquête sur sa situation fiscale,INTP
70,jusquà récemment on arrivait à se fondre dans la masse    le désarroi des tchétchènes,INTP
71,brexit   ursula von der leyen et boris johnson se donnent jusquà dimanche pour arriver à une décision,INTP
72,facebook attaqué en justice par une coalition detats américains et le gouvernement fédéral pour entrave à la concurrence,INTP
73,affaire nyssen   lenquête classée sans suite après de nouveaux travaux au siège parisien dactes sud,INTP
74,la réforme de la justice des mineurs attise les oppositions,INTP
75,youtube va sévir contre les vidéos trompeuses sur les résultats des élections américaines,INTP
76,la presse de droite polonaise brise le tabou du  polexit,INTP
77,au mali lerrance sans fin des déplacés de tessit,INTP
78,lexroi despagne juan carlos règle une dette fiscale de près de 680 000 euros,INTP
79,lagence européenne des médicaments visée par une attaque informatique,INTP
80,adp   les organisations syndicales signent un accord pour 1 150 départs volontaires,INTP
81,spotting recruit,INTP
82,a closer look at the beasts of the golden isle immortalsfenyxrising photomode   amp,INTP
83,look at those mighty steeds  have fun drengr,INTP
84,mmm tasty dutch angles  great captures,INTP
85,hey try getting in touch with our support with a few more details about your specific issue,INTP
86,season 4  end of watch is now live on all platforms we cover everything happening this season in our launch article,INTP
87,an update from the prince of persia  sands of time remake dev team,INTP
88,take a trip to london and bring your camera   watchdogslegion    amp,INTP
89,platform details plus couch and online multiplayer info,INTP
90,online modes included  coop  and pvp,INTP
91,on xbox one and will also be playable on series x  s,INTP
92,get ready to level up scottpilgrimgame launches january 14,INTP
93,dont forget you can upgrade from the ps4 version free if you cant wait,INTP
94,nextgen is here  buy now and upgrade free when you get your new console,INTP
95,beautiful,INTP
96,fans celebrate jeopardy  contestant for shining light on bisexuality,INTP
97,the quarterback for the university of nevada las vegas has apologized for eating sushi off a nude model during an episode of the bravo reality show below deck,INTP
98,watch  congressional and military leaders honor chinese american world war ii veterans celebrating them for their service and condemning the chinese exclusion act  which denied chinese immigrants rights as citizens even as they volunteered to serve,INTP
99,a member of a neonazi group who sought to threaten journalists and activists  especially jews and minorities  has been sentenced to more than a year in prison authorities say,INTP
100,the texas lawsuit seeking to invalidate presidentelect bidens election victory at the us supreme court has several problems that doom it according to experts on election law,INTP
101,humpback whale spotted in new york harbor near statue of liberty,INTP
102,georgia republicans outline a plan to restrict mail voting and roll back the election laws that contributed to the states recordhigh turnout in the presidential election  unwinding rules the party itself put in place,INTP
103,check out how  dealt with covid in her family and what it showed her about how privilege affects our,INTP
104,breaking  us sets singleday record surpassing 3000 deaths from covid19 on wednesday,INTP
105,two votes seeking to block  23b in us sales of stealth fighter jets and advanced drones to the united arab emirates fail in the senate,INTP
106,watch  spacex starship explodes during test flight landing,INTP
107,southern california police agency releases bodycamera footage showing its officers fatally shooting 34yearold jesse van loozen,INTP
108,update  a west virginia chemical facility erupted into flames after an explosion tuesday night killing one person and leading to a 2mile shelter in place order for area residents before the fire was under control and the order was lifted officials say,INTP
109,speaker pelosi and senate minority leader schumer reject a trumpbacked  916b coronavirus relief proposal offered by sec mnuchin,INTP
110,an oregon surfer who survived a rare shark attack that left his leg severely injured says the encounter wont keep him out of the water once hes healed,INTP
111,an introspective voyage taking in the breathtaking views of capri  emmastone gets caught up in the exhilarating whirlwind of heures dabsence discover the  louisvuitton campaign at,INTP
112,a whimsical getaway with majestic floral notes heures dabsence evokes sentiments of joy love and escape discover the  louisvuitton campaign with  emmastone at,INTP
113,floral expressions  emmastone captures the day with heures dabsence the newest fragrance to join the  louisvuitton perfume collection discover the campaign set on the majestic island of capri at,INTP
114,everyday indulgences elevate daily essentials with pieces from  louisvuittons art of living collection discover more  lvgifts at,INTP
115,glamour with an edge a new  louisvuitton capucines bag adds a leopard shoulder strap for a subtle statement find more  lvgifts inspiration at,INTP
116,the treasure of time  louisvuittons legendary art of travel meets traditional functionality in the trunk table clock explore the entire  lvgifts selection at,INTP
117,festive accents  louisvuittons silhouette ankle boots take on the seasons since 1854 jacquard for added flair find more  lvgifts inspiration at,INTP
118,the art of travel les parfums  louisvuitton can easily be transported with utmost care thanks to heritageinspired travel cases explore the entire  lvgifts selection at,INTP
119,lighthearted reinterpretations inspired by a deck of cards the new  lvcruise collection is full of playful pieces for game enthusiasts find  louisvuittons seasonal selection of  lvgifts at,INTP
120,a touch of gold a mini version of  louisvuittons twist bag glimmers in gold for a festive look explore the new holiday  lvgifts campaign at,INTP
121,an abundance of choices  louisvuittons selection of holiday gifts offers a mix of classic styles and the latest releases make a wish list of  lvgifts at,INTP
122,a dream come true a mini version of  louisvuittons capucines bag encapsulates femininity and refinement explore the entire  lvgifts selection at,INTP
123,a twist of fate big or small  louisvuittons holiday selection offers something for everyone find an inspiring range of  lvgifts at,INTP
124,festive embellishments a pair of loafers are elaborated with a chain for a  louisvuitton take on a classic style find a wide selection of  lvgifts at,INTP
125,unexpected wonder treat yourself or someone special with a timelessly modern  louisvuitton bag explore this years selection of  lvgifts at,INTP
126,a fazenda 12  prova do fazendeiro é contestada por possível erro e fica em suspenso,INTP
127,enquanto globo dispensa fórmula 1 band contrata sua exgrife reginaldo leme,INTP
128,gol é 1ª companhia aérea a retomar voos com boeing 737 max,INTP
129,indústria de congeladores garante equipamentos para vacina da pfizer contra covid19,INTP
130,são paulo goleia o botafogo e dispara na liderança do brasileiro,INTP
131,em cada 10 mulheres negras 8 sofreram violência virtual nas eleições em 2020 diz estudo,INTP
132,no meio da disputa entre doria e bolsonaro servidores da anvisa reclamam de estresse,INTP
133,a chaga da cracolândia,INTP
134,jornalista francesa lança livro sobre o brasil no governo bolsonaro,INTP
135,argentina começa debates para votar legalização do aborto por vontade da mulher,INTP
136,frente de lira deve reunir centrão esquerda e bolsonaristas do psl,INTP
137,escuta foi a base da filantropia empresarial na crise sanitária,INTP
138,deputado organiza audiência pública virtual em defesa da manutenção do ginásio do ibirapuera,INTP
139,1970  governo aguarda por mensagem do embaixador sequestrado no rio,INTP
140,leitores comentam compra de voto pelo governo,INTP
141,happy birthday     the world is a better place because of you thank you for the good work you do,INTP
142,millions are unemployed facing eviction have no health insurance and going hungry this is an emergency and the us,INTP
143,congratulations   this is a great news,INTP
144,yes,INTP
145,yes,INTP
146,cartoon network for the win,INTP
147,i know this may sound radical but congress should prioritize helping people over corporations,INTP
148,georgia thank you   we saw record turnout on nov 3rd but the work isnt over  there are two important senate runoff,INTP
149,every extra dollar that goes into the military budget is a dollar taken away from a social service,INTP
150,at this point theyre also literally the only two democrats crossing the aisle to help trump and kushners future business d,INTP
151,thank you to my friends at  im proud to receive your endorsement amp im grateful for the work you do to,INTP
152,we can pass comprehensive criminal justice reform if we take back the senate,INTP
153,they got money for wars but cant feed the poortupac,INTP
154,its obscene its beyond words,INTP
155,hecho en méxico representa mi sueño de llevar este traje de charro y mi mariachi a todas las esquinas del mundo gracias  por reconocer a nuestra música mexicana y colocar a este charro entre los más grandes  best50albumsbillboardlink,INTP
156,13 años y los que nos faltan  jaja les mando un fuerte abrazo y muchas bendiciones mis amores venga a manos llenaaaaassssss,INTP
157,depdon jaime camil garza,INTP
0,ohhhhhhhh my god trust me ye book nhi nasha haii love its endingi was like whtttttt the hellhowwhe,ENTJ
1,no bill is perfect if there are legitimate concerns about the farmers bill solution is to sit down talk and make changes however demand to withdraw the bill will be a step back for indian agriculture which needs capitalism and deep reform to grow beyond a cottage industry,ENTJ
2,if youve read you already know whos your favourite character in  onearrangedmurder ps  no spoilers,ENTJ
3,gm allthe great indian covid vaccine challenge is ahead lets start planning for it my column in toi todaydo read and,ENTJ
4,thats called consumer intelligence at its best,ENTJ
5,met this guy today who refused to agree that chetan bhagat is not good  i  him and admire is hard work and marketing  i am who i am because of these guys,ENTJ
6,in a conversation with  shwetabhgangwar on youtube live today at 7pm watch here,ENTJ
7,thanks for sharing  and you are welcome,ENTJ
8,agree with poorna about everything and she put it so well and especially that the hi fives are strong,ENTJ
9,whoohoo  we are so psyched to be on so many end of the year best of lists  feeling grateful to be shooting  season 2 during all this madness,ENTJ
10,do it,ENTJ
11,no this cannot be real,ENTJ
12,wow,ENTJ
13,seriously this muppet daughter pic with issa is so cute its my christmas card,ENTJ
14,sorry im team temp on this one,ENTJ
15,im curious why his throat slit is sometimes a gash and sometimes bloodbath 2020,ENTJ
16,same rami is irresponsible,ENTJ
17,heres to still rocking maternity jeans,ENTJ
18,cant wait to watch these funny talented writers chat,ENTJ
19,goals,ENTJ
20,happy birthday bud  i miss sitting at video village with you    eating tapatio doritos im sure you count those as some of the best days of your life,ENTJ
21,the real question is has grogu seen the mandalorian without his helmet on,ENTJ
22,not only does staying hydrated keep me focused and refreshed but it keeps my whole body in check when i have lots to do  helps me do exactly that with its optimal level of fluids and ions  ouractivehydration,ENTJ
23,nkoإسهروا معشمس الغنية  نجوى_كرموالبرنس  ماجد_المهندسمساء ١٥ يناير في مركز دبي التجاري العالمي,ENTJ
24,هاشتاغ في حب نجوى كرم يجتاح تويتر نجوى بدنا,ENTJ
25,شكرا لوقفتك جنبي عزيزتي نجوىوأكيد بتعرفي كمية الوجع ويبعد عنك كل شر,ENTJ
26,نجوى_كرم تعزي  باسم_مغنية بوفاة    ملحق,ENTJ
27,نجوى_كرم تقدم التعازي لـ  باسم_مغنية إثر وفاة والده,ENTJ
28,في الصباح لا يطربني صوت العصافير  ولا يعدل مزاجي كوب قهوة بل صوت  نجوى كرم  هو طربي  وصوت لبناني  افتخر في   n,ENTJ
29,الاصيلة  نجوى_كرم في برنامج  جعفر_توك   من العار الا تقول انك تحب وطنك,ENTJ
30,بكلمات مؤثرة نجوى كرم تعزي باسم مغنية بوفاة والده,ENTJ
31,نجوى_كرمعبر هاشتاغ  نجوى_بدنا_جديدك جمهور  نجوى_كرم يناشدها طرح,ENTJ
32,l denyi so3bi wel chaw2 byeb2a kbiirallah yer7am bayyak,ENTJ
33,نجوى_كرم تنعى,ENTJ
34,نجوى_كرم تنعى الملحن  جان_صليبا,ENTJ
35,نجوى_كرم تغرد  الله يرحم الملحن,ENTJ
36,إطلالات متنوعة تخطف الأنظار للنجمة  نجوى_كرم بتوقيع مصمم الأزياء اللبناني  رامي_قاضيشاهدي,ENTJ
